region_orig,region_orig_id,region_dest,region_dest_id,country_orig,origin_OECD,country_orig_id,country_dest,country_dest_id,destination_OECD,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,metadata
North America,1,Fmr Soviet Union,4,United States,1,USA,Uzbekistan,UZB,0,8211,1336,15683,112823,11,0,17,117,
North America,1,West Asia,5,Canada,1,CAN,United Arab Emirates,ARE,0,106989,1083,68064,130359,0,0,0,9,
North America,1,West Asia,5,Canada,1,CAN,Bahrain,BHR,0,106989,1083,68064,130359,0,0,0,62,
North America,1,West Asia,5,Canada,1,CAN,Cyprus,CYP,0,106989,1083,68064,130359,893,357,617,366,
North America,1,West Asia,5,Canada,1,CAN,Iraq,IRQ,0,106989,1083,68064,130359,31,0,0,0,
North America,1,West Asia,5,Canada,1,CAN,Israel,ISR,1,106989,1083,68064,130359,6829,606,510,1821,
North America,1,West Asia,5,Canada,1,CAN,Jordan,JOR,0,106989,1083,68064,130359,1383,6,0,285,
North America,1,West Asia,5,Canada,1,CAN,Kuwait,KWT,0,106989,1083,68064,130359,0,0,0,0,
North America,1,West Asia,5,Canada,1,CAN,Lebanon,LBN,0,106989,1083,68064,130359,4427,10,0,77,
North America,1,West Asia,5,Canada,1,CAN,Oman,OMN,0,106989,1083,68064,130359,0,0,0,0,
North America,1,West Asia,5,Canada,1,CAN,Palestine,PSE,0,106989,1083,68064,130359,364,0,0,0,
North America,1,West Asia,5,Canada,1,CAN,Qatar,QAT,0,106989,1083,68064,130359,0,0,0,157,
North America,1,West Asia,5,Canada,1,CAN,Saudi Arabia,SAU,0,106989,1083,68064,130359,0,0,0,0,
North America,1,West Asia,5,Canada,1,CAN,Syria,SYR,0,106989,1083,68064,130359,0,0,0,465,
North America,1,West Asia,5,Canada,1,CAN,Turkey,TUR,0,106989,1083,68064,130359,652,4,1299,2121,
North America,1,West Asia,5,Canada,1,CAN,Yemen,YEM,0,106989,1083,68064,130359,311,0,0,0,
North America,1,West Asia,5,United States,1,USA,United Arab Emirates,ARE,0,106989,1083,68064,130359,802,0,649,4530,
North America,1,West Asia,5,United States,1,USA,Bahrain,BHR,0,106989,1083,68064,130359,52,0,6,1035,
North America,1,West Asia,5,United States,1,USA,Cyprus,CYP,0,106989,1083,68064,130359,3714,21,4289,4167,
North America,1,West Asia,5,United States,1,USA,Iraq,IRQ,0,106989,1083,68064,130359,1364,1,0,8,
North America,1,West Asia,5,United States,1,USA,Israel,ISR,1,106989,1083,68064,130359,48333,55,24544,64692,
North America,1,West Asia,5,United States,1,USA,Jordan,JOR,0,106989,1083,68064,130359,5853,7,0,441,
North America,1,West Asia,5,United States,1,USA,Kuwait,KWT,0,106989,1083,68064,130359,0,0,12,12,
North America,1,West Asia,5,United States,1,USA,Lebanon,LBN,0,106989,1083,68064,130359,20503,14,0,118,
North America,1,West Asia,5,United States,1,USA,Oman,OMN,0,106989,1083,68064,130359,1,0,0,0,
North America,1,West Asia,5,United States,1,USA,Palestine,PSE,0,106989,1083,68064,130359,4915,0,0,801,
North America,1,West Asia,5,United States,1,USA,Qatar,QAT,0,106989,1083,68064,130359,0,0,143,1709,
North America,1,West Asia,5,United States,1,USA,Saudi Arabia,SAU,0,106989,1083,68064,130359,87,0,2134,0,
